"Genus","Species","Variety","Name","CBS","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Diameter1","Diameter2","Diam_units","ColonyArea","Comments","Growing_days","Temperature","Media","ColonyComments","Phylum","spore_d1","spore_d2","spore_width","spore_length"
"Acremonium","berkeleyanum","","Acremonium berkeleyanum","148.62","asexual","conidia",NA,3.5,5.8,8.1,NA,1.5,2.5,NA,"um",7.30420291959627,1,2,"cm",1.5707963267949,"",10,20,"MEA","","Ascomycota",4.65,2,2,4.65
"Acremonium","cerealis","","Acremonium cerealis","208.7","asexual","conidia",NA,4,5.3,NA,NA,2.5,3.7,NA,"um",11.3215145253742,1,1.4,"cm",1.09955742875643,"",10,20,"MEA","","Ascomycota",4.65,3.1,3.1,4.65
"Acremonium","furcatum","","Acremonium furcatum","","asexual","conidia",NA,3,3.7,NA,NA,1.6,2.1,NA,"um",4.86750511765569,1.8,2.4,"cm",3.39292006587698,"",10,20,"MEA","","Ascomycota",3.35,1.85,1.85,3.35
"Acremonium","fusidioides","","Acremonium fusidioides","991.69","asexual","globose_conidia",NA,3.4,4.7,NA,NA,3.4,4.7,NA,"um",12.8824933751266,0.8,1,"cm",0.628318530717959,"",10,20,"MEA","","Ascomycota",4.05,4.05,4.05,4.05
"Acremonium","fusidioides","","Acremonium fusidioides","991.69","asexual","fusiform_conidia",NA,4.9,6.4,NA,NA,1.2,2.1,NA,"um",7.32187437827271,0.8,1,"cm",0.628318530717959,"",10,20,"MEA","","Ascomycota",5.65,1.65,1.65,5.65
"Acremonium","kiliense","","Acremonium kiliense","","asexual","conidia",NA,3.1,5.8,NA,NA,1,1.6,NA,"um",4.54352837525424,1.8,2.3,"cm",3.25154839646544,"",10,20,"MEA","","Ascomycota",4.45,1.3,1.3,4.45
"Acremonium","luzulae","","Acremonium luzulae","","asexual","conidia",NA,5.2,8.2,NA,NA,1.9,2.8,NA,"um",12.3660940826928,0.8,1,"cm",0.628318530717959,"",10,NA,"MEA","","Ascomycota",6.7,2.35,2.35,6.7
"Acremonium","murorum","","Acremonium murorum","","asexual","conidia",NA,3.4,5.7,NA,NA,2,3.7,NA,"um",10.1846506838564,1.8,2.8,"cm",3.95840674352314,"",10,20,"MEA","","Ascomycota",4.55,2.85,2.85,4.55
"Acremonium","rutilum","","Acremonium rutilum","394.66","asexual","conidia",NA,3,6,NA,NA,2,3.3,NA,"um",9.36587309851457,1,2,"cm",1.5707963267949,"",10,20,"MEA","","Ascomycota",4.5,2.65,2.65,4.5
"Acremonium","strictum","","Acremonium strictum","","asexual","conidia",NA,3.3,5.5,NA,NA,0.9,1.8,NA,"um",4.66526509058084,1.6,2.5,"cm",3.14159265358979,"",10,20,"MEA","","Ascomycota",4.4,1.35,1.35,4.4
